Movie Name,Movie Stars
Godzilla: King of the Monsters (2019) ,Millie Bobby Brown
Always Be My Maybe (2019) ,Ali Wong
Always Be My Maybe (2019) ,Randall Park
Always Be My Maybe (2019) ,James Saito
Avengers: Infinity War (2018) ,Robert Downey Jr.
Avengers: Infinity War (2018) ,Chris Hemsworth
Avengers: Infinity War (2018) ,Mark Ruffalo
The Favourite (2018) ,Olivia Colman
The Favourite (2018) ,Emma Stone
The Favourite (2018) ,Rachel Weisz
Eighth Grade (2018) ,Elsie Fisher
Eighth Grade (2018) ,Josh Hamilton
Eighth Grade (2018) ,Emily Robinson
A Star Is Born (2018) ,Lady Gaga
A Star Is Born (2018) ,Bradley Cooper
A Star Is Born (2018) ,Sam Elliott
Hereditary (2018) ,Toni Collette
Hereditary (2018) ,Milly Shapiro
Hereditary (2018) ,Gabriel Byrne
A Quiet Place (2018) ,Emily Blunt
A Quiet Place (2018) ,John Krasinski
A Quiet Place (2018) ,Millicent Simmonds
BlacKkKlansman (2018) ,John David Washington
BlacKkKlansman (2018) ,Adam Driver
BlacKkKlansman (2018) ,Laura Harrier
Mission: Impossible - Fallout (2018) ,Tom Cruise
Mission: Impossible - Fallout (2018) ,Henry Cavill
Mission: Impossible - Fallout (2018) ,Ving Rhames
Spider-Man: Into the Spider-Verse (2018) ,Shameik Moore
Spider-Man: Into the Spider-Verse (2018) ,Jake Johnson
Spider-Man: Into the Spider-Verse (2018) ,Hailee Steinfeld
Aquaman (2018) ,Jason Momoa
Aquaman (2018) ,Amber Heard
Aquaman (2018) ,Willem Dafoe
Bad Times at the El Royale (2018) ,Jeff Bridges
Bad Times at the El Royale (2018) ,Cynthia Erivo
Bad Times at the El Royale (2018) ,Dakota Johnson
If Beale Street Could Talk (2018) ,KiKi Layne
If Beale Street Could Talk (2018) ,Stephan James
If Beale Street Could Talk (2018) ,Regina King
Deadpool 2 (2018) ,Ryan Reynolds
Deadpool 2 (2018) ,Josh Brolin
Deadpool 2 (2018) ,Morena Baccarin
Beautiful Boy (2018) ,Steve Carell
Beautiful Boy (2018) ,Maura Tierney
Beautiful Boy (2018) ,Jack Dylan Grazer
Vice (2018) ,Christian Bale
Vice (2018) ,Amy Adams
Vice (2018) ,Steve Carell
First Reformed (2017) ,Ethan Hawke
First Reformed (2017) ,Amanda Seyfried
First Reformed (2017) ,Cedric the Entertainer
Blindspotting (2018) ,Daveed Diggs
Blindspotting (2018) ,Rafael Casal
Blindspotting (2018) ,Janina Gavankar
Annihilation (2018) ,Natalie Portman
Annihilation (2018) ,Jennifer Jason Leigh
Annihilation (2018) ,Tessa Thompson
Upgrade (2018) ,Logan Marshall-Green
Upgrade (2018) ,Melanie Vallejo
Upgrade (2018) ,Steve Danielsen
The Incredibles 2 (2018) ,Craig T. Nelson
The Incredibles 2 (2018) ,Holly Hunter
The Incredibles 2 (2018) ,Sarah Vowell
Black Panther (2018) ,Chadwick Boseman
Black Panther (2018) ,Michael B. Jordan
Black Panther (2018) ,Lupita Nyong'o
The Old Man & The Gun (2018) ,Robert Redford
The Old Man & The Gun (2018) ,Casey Affleck
The Old Man & The Gun (2018) ,Sissy Spacek
"Don't Worry, He Won't Get Far on Foot (2018) ",Joaquin Phoenix
"Don't Worry, He Won't Get Far on Foot (2018) ",Jonah Hill
"Don't Worry, He Won't Get Far on Foot (2018) ",Rooney Mara
Sorry to Bother You (2018) ,LaKeith Stanfield
Sorry to Bother You (2018) ,Tessa Thompson
Sorry to Bother You (2018) ,Jermaine Fowler
Mid90s (2018) ,Sunny Suljic
Mid90s (2018) ,Katherine Waterston
Mid90s (2018) ,Lucas Hedges
Can You Ever Forgive Me? (2018) ,Melissa McCarthy
Can You Ever Forgive Me? (2018) ,Richard E. Grant
Can You Ever Forgive Me? (2018) ,Dolly Wells
Instant Family (2018) ,Mark Wahlberg
Instant Family (2018) ,Rose Byrne
Instant Family (2018) ,Isabela Merced
Ant-Man and the Wasp (2018) ,Paul Rudd
Ant-Man and the Wasp (2018) ,Evangeline Lilly
Ant-Man and the Wasp (2018) ,Michael Peña
Widows (2018) ,Viola Davis
Widows (2018) ,Michelle Rodriguez
Widows (2018) ,Elizabeth Debicki
The Mule (2018) ,Clint Eastwood
The Mule (2018) ,Patrick L. Reyes
The Mule (2018) ,Cesar De León
You Were Never Really Here (2017) ,Joaquin Phoenix
You Were Never Really Here (2017) ,Judith Roberts
You Were Never Really Here (2017) ,Ekaterina Samsonov
Boy Erased (2018) ,Lucas Hedges
Boy Erased (2018) ,Nicole Kidman
Boy Erased (2018) ,Joel Edgerton
Ben Is Back (2018) ,Julia Roberts
Ben Is Back (2018) ,Lucas Hedges
Ben Is Back (2018) ,Courtney B. Vance
Bird Box (2018) ,Sandra Bullock
Bird Box (2018) ,Trevante Rhodes
Bird Box (2018) ,John Malkovich
Sicario 2: Soldado (2018) ,Benicio Del Toro
Sicario 2: Soldado (2018) ,Josh Brolin
Sicario 2: Soldado (2018) ,Isabela Merced
"Love, Simon (2018) ",Nick Robinson
"Love, Simon (2018) ",Jennifer Garner
"Love, Simon (2018) ",Josh Duhamel
Green Book (2018) ,Viggo Mortensen
Green Book (2018) ,Mahershala Ali
Green Book (2018) ,Linda Cardellini
Creed II (2018) ,Michael B. Jordan
Creed II (2018) ,Sylvester Stallone
Creed II (2018) ,Tessa Thompson
White Boy Rick (2018) ,Matthew McConaughey
White Boy Rick (2018) ,Richie Merritt
White Boy Rick (2018) ,Bel Powley
Hostiles (2017) ,Scott Shepherd
Hostiles (2017) ,Rosamund Pike
Hostiles (2017) ,Ava Cooper
Bohemian Rhapsody (2018) ,Rami Malek
Bohemian Rhapsody (2018) ,Lucy Boynton
Bohemian Rhapsody (2018) ,Gwilym Lee
Ready Player One (2018) ,Tye Sheridan
Ready Player One (2018) ,Olivia Cooke
Ready Player One (2018) ,Ben Mendelsohn
Game Night (2018) ,Jason Bateman
Game Night (2018) ,Rachel McAdams
Game Night (2018) ,Kyle Chandler
Mandy (2018) ,Nicolas Cage
Mandy (2018) ,Andrea Riseborough
Mandy (2018) ,Linus Roache
Solo: A Star Wars Story (2018) ,Alden Ehrenreich
Solo: A Star Wars Story (2018) ,Woody Harrelson
Solo: A Star Wars Story (2018) ,Emilia Clarke
The Meg (2018) ,Jason Statham
The Meg (2018) ,Bingbing Li
The Meg (2018) ,Rainn Wilson
Tag (2018) ,Jeremy Renner
Tag (2018) ,Ed Helms
