Movie Name,Director
Stronger (2017) ,David Gordon Green
Patti Cake$ (2017) ,Geremy Jasper
Guardians of the Galaxy: Vol. 2 (2017) ,James Gunn
The Lego Batman Movie (2017) ,Chris McKay
Atomic Blonde (2017) ,David Leitch
Wakefield (2016) ,Robin Swicord
Beauty and the Beast (2017) ,Bill Condon
Brigsby Bear (2017) ,Dave McCary
Kong: Skull Island (2017) ,Jordan Vogt-Roberts
Alien: Covenant (2017) ,Ridley Scott
Goodbye Christopher Robin (2017) ,Simon Curtis
Victoria & Abdul (2017) ,Stephen Frears
Suburbicon (2017) ,George Clooney
Captain Fantastic (2016) ,Matt Ross
La La Land (2016) ,Damien Chazelle
Hacksaw Ridge (2016) ,Mel Gibson
Lion (2016) ,Garth Davis
Hell or High Water (2016) ,David Mackenzie
The Witch (2015) ,Robert Eggers
The Jungle Book (2016) ,Jon Favreau
Deadpool (2016) ,Tim Miller
Moonlight (2016) ,Barry Jenkins
Other People (2016) ,Chris Kelly
Zootropolis (2016) ,Byron Howard
Zootropolis (2016) ,Rich Moore
Zootropolis (2016) ,1 more credit
Nocturnal Animals (2016) ,Tom Ford
Train to Busan (2016) ,Sang-ho Yeon
Don't Breathe (2016) ,Fede Alvarez
Sing Street (2016) ,John Carney
Doctor Strange (2016) ,Scott Derrickson
The Conjuring 2 (2016) ,James Wan
The Distinguished Citizen (2016) ,Gastón Duprat
The Distinguished Citizen (2016) ,Mariano Cohn
Your Name. (2016) ,Makoto Shinkai
Maudie (2016) ,Aisling Walsh
Miss Peregrine's Home for Peculiar Children (2016) ,Tim Burton
Eddie the Eagle (2015) ,Dexter Fletcher
Elle (2016) ,Paul Verhoeven
Julieta (2016) ,Pedro Almodóvar
Manchester by the Sea (2016) ,Kenneth Lonergan
Dangal (2016) ,Nitesh Tiwari
10 Cloverfield Lane (2016) ,Dan Trachtenberg
Hidden Figures (2016) ,Theodore Melfi
Florence Foster Jenkins (2016) ,Stephen Frears
The Invisible Guest (2016) ,Oriol Paulo
I'm Gilda (2016) ,Lorena Muñoz
Deepwater Horizon (2016) ,Peter Berg
The Edge of Seventeen (2016) ,Kelly Fremon Craig
The Magnificent Seven (2016) ,Antoine Fuqua
The Shallows (2016) ,Jaume Collet-Serra
X-Men: Apocalypse (2016) ,Bryan Singer
Hush (2016) ,Mike Flanagan
Captain America: Civil War (2016) ,Anthony Russo
Captain America: Civil War (2016) ,Joe Russo
¿Qué culpa tiene el niño? (2016) ,Gustavo Loza
War Dogs (2016) ,Todd Phillips
A Monster Calls (2016) ,J.A. Bayona
"I, Daniel Blake (2016) ",Ken Loach
"I, Daniel Blake (2016) ",Laura Obiols
Lights Out (2016) ,David F. Sandberg
The Innocents (2016) ,Anne Fontaine
Rogue One (2016) ,Gareth Edwards
13 Hours (2016) ,Michael Bay
Fantastic Beasts and Where to Find Them (2016) ,David Yates
The Autopsy of Jane Doe (2016) ,André Øvredal
American Honey (2016) ,Andrea Arnold
The Founder (2016) ,John Lee Hancock
Brooklyn (2015) ,John Crowley
The Big Short (2015) ,Adam McKay
Mad Max: Fury Road (2015) ,George Miller
Sicario (2015) ,Denis Villeneuve
When Marnie Was There (2014) ,James Simone
When Marnie Was There (2014) ,Hiromasa Yonebayashi
The Martian (2015) ,Ridley Scott
The Revenant (2015) ,Alejandro G. Iñárritu
Anomalisa (2015) ,Duke Johnson
Anomalisa (2015) ,Charlie Kaufman
Spotlight (2015) ,Tom McCarthy
Room (2015) ,Lenny Abrahamson
Inside Out (2015) ,Pete Docter
Inside Out (2015) ,Ronnie Del Carmen
Cartel Land (2015) ,Matthew Heineman
Mission: Impossible - Rogue Nation (2015) ,Christopher McQuarrie
Creed (2015) ,Ryan Coogler
Beasts of No Nation (2015) ,Cary Joji Fukunaga
The Hateful Eight (2015) ,Quentin Tarantino
Mustang (2015) ,Deniz Gamze Ergüven
The Falling (2014) ,Carol Morley
The Final Girls (2015) ,Todd Strauss-Schulson
Mississippi Grind (2015) ,Anna Boden
Mississippi Grind (2015) ,Ryan Fleck
Steve Jobs (2015) ,Danny Boyle
Carol (2015) ,Todd Haynes
99 Homes (2014) ,Ramin Bahrani
Man Up (2015) ,Ben Palmer
Victoria (2015) ,Sebastian Schipper
Southpaw (2015) ,Antoine Fuqua
Kingsman: The Secret Service (2014) ,Matthew Vaughn
Straight Outta Compton (2015) ,F. Gary Gray
The Stanford Prison Experiment (2015) ,Kyle Patrick Alvarez
Mistress America (2015) ,Noah Baumbach
Goodnight Mommy (2014) ,Severin Fiala
Goodnight Mommy (2014) ,Veronika Franz
Sleeping with Other People (2015) ,Leslye Headland
The Assassin (2015) ,Hsiao-Hsien Hou
Star Wars: Episode VII - The Force Awakens (2015) ,J.J. Abrams
Ex Machina (2014) ,Alex Garland
De Palma (2015) ,Noah Baumbach
De Palma (2015) ,Jake Paltrow
Avengers: Age of Ultron (2015) ,Joss Whedon
Shaun the Sheep Movie (2015) ,Mark Burton
Shaun the Sheep Movie (2015) ,Richard Starzak
Cop Car (2015) ,Jon Watts
Black Mass (2015) ,Scott Cooper
Tangerine (2015) ,Sean Baker
Clouds of Sils Maria (2014) ,Olivier Assayas
Grandma (2015) ,Paul Weitz
Cinderella (2015) ,Kenneth Branagh
The Lobster (2015) ,Yorgos Lanthimos
What We Do in the Shadows (2014) ,Jemaine Clement
What We Do in the Shadows (2014) ,Taika Waititi
Paddington (2014) ,Paul King
Bone Tomahawk (2015) ,S. Craig Zahler
The Man from U.N.C.L.E. (2015) ,Guy Ritchie
Take Me to the River (2015) ,Matt Sobel
